name,system,effective_for_diabetes,is_bitter,is_cooling,reduces_kapha,active_compounds_count,has_blood_sugar_effect,efficacy_amplitude,system_frequency,phase_alignment,resonance_potential,half_life_hours,bioavailability,is_hot,reduces_phlegm,has_thirst_symptom,has_urination_symptom
Turmeric,Ayurvedic,1,0.0,1.0,0.0,4,1,0.7872476237408508,0.33,0.5301375718339412,0.6922525176894552,0.0,0.0,0.0,0.0,0.0,0.0
Gymnema,Ayurvedic,1,1.0,0.0,0.0,7,1,0.86600154538402,0.33,0.3618594614159217,0.5784223352941608,0.0,0.0,0.0,0.0,0.0,0.0
Fenugreek,Ayurvedic,1,0.0,0.0,0.0,8,1,0.9062162138255304,0.33,0.5963977495001382,0.6160182103980534,0.0,0.0,0.0,0.0,0.0,0.0
Bitter Melon,Ayurvedic,1,0.0,0.0,0.0,6,1,0.7123178193753479,0.33,0.5114170406431084,0.7318074118947253,0.0,0.0,0.0,0.0,0.0,0.0
Indian Kino,Ayurvedic,0,1.0,0.0,1.0,9,1,0.6979036816943538,0.33,0.5227029387322193,0.7754483517460389,0.0,0.0,0.0,0.0,0.0,0.0
Holy Basil,Ayurvedic,0,1.0,0.0,1.0,3,0,0.5697528655867594,0.33,0.3808015252044531,0.8204114516738468,0.0,0.0,0.0,0.0,0.0,0.0
Neem,Ayurvedic,0,0.0,0.0,1.0,3,1,0.6246101551317397,0.33,0.3171105889467391,0.681077178979128,0.0,0.0,0.0,0.0,0.0,0.0
Amla,Ayurvedic,0,1.0,1.0,0.0,6,0,0.2953286201171633,0.33,0.6917044034513218,0.8327785183733857,0.0,0.0,0.0,0.0,0.0,0.0
Cinnamon,Ayurvedic,0,1.0,1.0,1.0,7,1,0.6650407283383288,0.33,0.3101983413746395,0.8376033597083794,0.0,0.0,0.0,0.0,0.0,0.0
Aloe Vera,Ayurvedic,0,0.0,1.0,0.0,4,0,0.4014478790914241,0.33,0.3534405680704732,0.4396388386633723,0.0,0.0,0.0,0.0,0.0,0.0
Ashwagandha,Ayurvedic,0,0.0,0.0,0.0,9,0,0.5802392140139067,0.33,0.4310001841051697,0.4640701537320927,0.0,0.0,0.0,0.0,0.0,0.0
Gudmar,Ayurvedic,0,1.0,1.0,0.0,1,0,0.5950386414635147,0.33,0.725005320086459,0.8135012382474603,0.0,0.0,0.0,0.0,0.0,0.0
Guggul,Ayurvedic,1,0.0,0.0,1.0,5,1,0.7708106950324158,0.33,0.8588473236866947,0.5613591265515641,0.0,0.0,0.0,0.0,0.0,0.0
Arjuna,Ayurvedic,1,0.0,0.0,1.0,7,1,0.7473309969054718,0.33,0.8536875562000805,0.7040338860131948,0.0,0.0,0.0,0.0,0.0,0.0
Licorice,Ayurvedic,0,1.0,1.0,0.0,2,0,0.2225930735169694,0.33,0.5204356286390649,0.7714370236857833,0.0,0.0,0.0,0.0,0.0,0.0
Cardamom,Ayurvedic,0,1.0,0.0,1.0,9,1,0.690157528279963,0.33,0.8126802741367065,0.7826902055843838,0.0,0.0,0.0,0.0,0.0,0.0
Triphala,Ayurvedic,0,1.0,0.0,0.0,9,0,0.2475845704498965,0.33,0.606955937458244,0.6280201028212197,0.0,0.0,0.0,0.0,0.0,0.0
Boswellia,Ayurvedic,0,0.0,0.0,1.0,9,0,0.5784819088230972,0.33,0.5026824214776916,0.4924914247439161,0.0,0.0,0.0,0.0,0.0,0.0
Cumin,Ayurvedic,1,1.0,1.0,0.0,9,1,0.7882241662712821,0.33,0.8661126167992526,0.6823640062362734,0.0,0.0,0.0,0.0,0.0,0.0
Ginger,Ayurvedic,0,0.0,0.0,0.0,9,0,0.596395037773298,0.33,0.7209575632270546,0.7658504720610191,0.0,0.0,0.0,0.0,0.0,0.0
Metformin,Allopathic,1,0.0,0.0,0.0,2,1,0.8838812915461086,0.67,0.7536046673152954,0.3517495751821636,18.50422196332469,0.5011471481951555,0.0,0.0,0.0,0.0
Sitagliptin,Allopathic,0,0.0,0.0,0.0,3,1,0.6679160632115829,0.67,0.6912757121893226,0.4092812185636956,18.131274324970093,0.5135107694275991,0.0,0.0,0.0,0.0
Empagliflozin,Allopathic,1,0.0,0.0,0.0,2,1,0.8489344448263817,0.67,0.6564825422417883,0.7960859148083281,1.7225493106748369,0.3634421300887076,0.0,0.0,0.0,0.0
