name,system,effective_for_diabetes,is_bitter,is_cooling,reduces_kapha,active_compounds_count,has_blood_sugar_effect,efficacy_amplitude,system_frequency,phase_alignment,resonance_potential,half_life_hours,bioavailability,is_hot,reduces_phlegm,has_thirst_symptom,has_urination_symptom
Turmeric,Ayurvedic,True,0.0,1.0,0.0,4,1,0.7872476237408508,0.33,0.5301375718339412,0.6922525176894552,,,,,,
Gymnema,Ayurvedic,True,1.0,0.0,0.0,7,1,0.86600154538402,0.33,0.36185946141592173,0.5784223352941608,,,,,,
Fenugreek,Ayurvedic,True,0.0,0.0,0.0,8,1,0.9062162138255303,0.33,0.5963977495001382,0.6160182103980534,,,,,,
Bitter Melon,Ayurvedic,True,0.0,0.0,0.0,6,1,0.7123178193753479,0.33,0.5114170406431084,0.7318074118947253,,,,,,
Indian Kino,Ayurvedic,False,1.0,0.0,1.0,9,1,0.6979036816943538,0.33,0.5227029387322193,0.7754483517460389,,,,,,
Holy Basil,Ayurvedic,False,1.0,0.0,1.0,3,0,0.5697528655867594,0.33,0.38080152520445315,0.8204114516738468,,,,,,
Neem,Ayurvedic,False,0.0,0.0,1.0,3,1,0.6246101551317397,0.33,0.31711058894673916,0.681077178979128,,,,,,
Amla,Ayurvedic,False,1.0,1.0,0.0,6,0,0.2953286201171633,0.33,0.6917044034513218,0.8327785183733857,,,,,,
Cinnamon,Ayurvedic,False,1.0,1.0,1.0,7,1,0.6650407283383288,0.33,0.31019834137463953,0.8376033597083794,,,,,,
Aloe Vera,Ayurvedic,False,0.0,1.0,0.0,4,0,0.4014478790914241,0.33,0.35344056807047325,0.43963883866337233,,,,,,
Ashwagandha,Ayurvedic,False,0.0,0.0,0.0,9,0,0.5802392140139067,0.33,0.4310001841051697,0.4640701537320927,,,,,,
Gudmar,Ayurvedic,False,1.0,1.0,0.0,1,0,0.5950386414635147,0.33,0.725005320086459,0.8135012382474603,,,,,,
Guggul,Ayurvedic,True,0.0,0.0,1.0,5,1,0.7708106950324158,0.33,0.8588473236866947,0.5613591265515641,,,,,,
Arjuna,Ayurvedic,True,0.0,0.0,1.0,7,1,0.7473309969054718,0.33,0.8536875562000805,0.7040338860131948,,,,,,
Licorice,Ayurvedic,False,1.0,1.0,0.0,2,0,0.2225930735169694,0.33,0.5204356286390649,0.7714370236857833,,,,,,
Cardamom,Ayurvedic,False,1.0,0.0,1.0,9,1,0.690157528279963,0.33,0.8126802741367065,0.7826902055843838,,,,,,
Triphala,Ayurvedic,False,1.0,0.0,0.0,9,0,0.2475845704498965,0.33,0.606955937458244,0.6280201028212197,,,,,,
Boswellia,Ayurvedic,False,0.0,0.0,1.0,9,0,0.5784819088230972,0.33,0.5026824214776916,0.4924914247439161,,,,,,
Cumin,Ayurvedic,True,1.0,1.0,0.0,9,1,0.7882241662712821,0.33,0.8661126167992526,0.6823640062362734,,,,,,
Ginger,Ayurvedic,False,0.0,0.0,0.0,9,0,0.596395037773298,0.33,0.7209575632270546,0.7658504720610191,,,,,,
Metformin,Allopathic,True,,,,2,1,0.8838812915461086,0.67,0.7536046673152954,0.3517495751821636,18.50422196332469,0.5011471481951555,,,,
Sitagliptin,Allopathic,False,,,,3,1,0.6679160632115829,0.67,0.6912757121893226,0.40928121856369565,18.131274324970093,0.5135107694275991,,,,
Empagliflozin,Allopathic,True,,,,2,1,0.8489344448263817,0.67,0.6564825422417883,0.7960859148083281,1.7225493106748369,0.3634421300887076,,,,
Liraglutide,Allopathic,True,,,,2,1,0.7939865413029645,0.67,0.6856883017785378,0.6019123104659065,23.72246877762502,0.5955524101976128,,,,
Glimepiride,Allopathic,False,,,,2,1,0.6123071843210431,0.67,0.7339993709212751,0.517926398597139,23.834512139198875,0.3815602344838971,,,,
Pioglitazone,Allopathic,False,,,,2,1,0.513919483009701,0.67,0.7828672389334626,0.39615229531634477,7.821384006911693,0.49275579485919685,,,,
Acarbose,Allopathic,False,,,,1,1,0.5829927091457956,0.67,0.5777414527897041,0.5310395427687028,20.24248131508242,0.6320579328638485,,,,
Canagliflozin,Allopathic,False,,,,2,1,0.6858452615647814,0.67,0.7060404655860202,0.5918051228584723,6.318398466528595,0.5595518399436746,,,,
Glyburide,Allopathic,True,,,,1,1,0.7810526752515149,0.67,0.7651433481354775,0.4465201185941091,2.654483994791484,0.32727502014644116,,,,
Rosiglitazone,Allopathic,True,,,,1,1,0.8073460477082514,0.67,0.8257220222215502,0.4252450841376789,6.9788759656933,0.4806222528841494,,,,
Repaglinide,Allopathic,False,,,,3,1,0.5277719221356255,0.67,0.8854178987503586,0.6290940452217169,21.9519365620625,0.5357094673614864,,,,
Dapagliflozin,Allopathic,False,,,,1,1,0.5022627140405068,0.67,0.6941194260531197,0.3720665133729487,11.0055283242131,0.8338350613181356,,,,
Exenatide,Allopathic,False,,,,3,1,0.6174465419641285,0.67,0.9447416874327084,0.706018936150826,20.06200418659193,0.7208656952741036,,,,
Dulaglutide,Allopathic,False,,,,3,1,0.6919785264459437,0.67,0.6870196636783191,0.42601569312549137,10.723684496878892,0.5905041832847571,,,,
Saxagliptin,Allopathic,True,,,,2,1,0.8201589436663574,0.67,0.8306549521160078,0.7805688576819446,6.201660353760915,0.7095039027276167,,,,
Linagliptin,Allopathic,False,,,,3,1,0.5645893421966304,0.67,0.8543595065301143,0.7601667210306037,7.281206440045159,0.6763458883076816,,,,
Semaglutide,Allopathic,False,,,,3,1,0.6532948274258817,0.67,0.8316544346689771,0.513159911056569,22.992829296020936,0.6127566873067427,,,,
Glipizide,Allopathic,False,,,,2,1,0.6465520201974413,0.67,0.5491780058939901,0.4094045943340023,12.46115680887993,0.6489053534410194,,,,
Nateglinide,Allopathic,True,,,,2,1,0.8344847829958641,0.67,0.6474350287864425,0.6358098074439347,17.70905373540908,0.4609072647602404,,,,
Insulin,Allopathic,True,,,,2,1,0.8045657272380854,0.67,0.6286800978613487,0.4560884148199689,5.020956562523278,0.6860711765028896,,,,
Myrtle,Unani,True,,,,4,1,0.7258359892859972,0.5,0.5960970341383337,0.6567648563024189,,,1.0,0.0,,
Cinnamon,Unani,True,,,,4,1,0.7543093563792285,0.5,0.7013434348464969,0.7258244576773085,,,1.0,1.0,,
Black Seed,Unani,False,,,,7,1,0.6652573207098118,0.5,0.7777764185152707,0.5230839913583776,,,0.0,1.0,,
Fenugreek,Unani,True,,,,7,1,0.7411714682926032,0.5,0.7960117492234209,0.5299813430130321,,,1.0,0.0,,
Ginger,Unani,True,,,,1,1,0.7131524658073964,0.5,0.7907499063935362,0.6548539659261537,,,1.0,1.0,,
Aloe,Unani,False,,,,2,0,0.6325041397174176,0.5,0.6870002192654296,0.8011825578951192,,,1.0,0.0,,
Cardamom,Unani,False,,,,4,0,0.353486417639322,0.5,0.5357783521099495,0.4047255551575996,,,1.0,0.0,,
Olive,Unani,False,,,,5,0,0.5545350202888035,0.5,0.6726457394727282,0.5766648475395668,,,1.0,1.0,,
Garlic,Unani,False,,,,5,0,0.3351881942552415,0.5,0.478645532342833,0.5206421842985538,,,1.0,0.0,,
Gooseberry,Unani,False,,,,5,0,0.5729706244093973,0.5,0.6249370114403919,0.5739497076815705,,,0.0,1.0,,
Turmeric,Unani,False,,,,4,0,0.45943348259175354,0.5,0.591774210271892,0.6947581006657038,,,1.0,0.0,,
Bitter Gourd,Unani,True,,,,5,1,0.8904511604522596,0.5,0.45328890748329703,0.47736959939464085,,,1.0,1.0,,
Coriander,Unani,False,,,,7,0,0.3976284770008894,0.5,0.829277767789312,0.839532585859111,,,1.0,0.0,,
Pomegranate,Unani,False,,,,7,0,0.5940958120671069,0.5,0.46304150631730323,0.5579160644763863,,,0.0,0.0,,
Chicory,Unani,True,,,,2,1,0.7017810885003997,0.5,0.6435234806555824,0.5501049221193862,,,1.0,0.0,,
