name,system,effective_for_diabetes,is_bitter,is_cooling,reduces_kapha,active_compounds_count,has_blood_sugar_effect,efficacy_amplitude,system_frequency,phase_alignment,resonance_potential
Turmeric,Ayurvedic,True,0,1,0,4,1,0.7872476237408508,0.33,0.5301375718339412,0.6922525176894552
Gymnema,Ayurvedic,True,1,0,0,7,1,0.86600154538402,0.33,0.36185946141592173,0.5784223352941608
Fenugreek,Ayurvedic,True,0,0,0,8,1,0.9062162138255303,0.33,0.5963977495001382,0.6160182103980534
Bitter Melon,Ayurvedic,True,0,0,0,6,1,0.7123178193753479,0.33,0.5114170406431084,0.7318074118947253
Indian Kino,Ayurvedic,False,1,0,1,9,1,0.6979036816943538,0.33,0.5227029387322193,0.7754483517460389
Holy Basil,Ayurvedic,False,1,0,1,3,0,0.5697528655867594,0.33,0.38080152520445315,0.8204114516738468
Neem,Ayurvedic,False,0,0,1,3,1,0.6246101551317397,0.33,0.31711058894673916,0.681077178979128
Amla,Ayurvedic,False,1,1,0,6,0,0.2953286201171633,0.33,0.6917044034513218,0.8327785183733857
Cinnamon,Ayurvedic,False,1,1,1,7,1,0.6650407283383288,0.33,0.31019834137463953,0.8376033597083794
Aloe Vera,Ayurvedic,False,0,1,0,4,0,0.4014478790914241,0.33,0.35344056807047325,0.43963883866337233
Ashwagandha,Ayurvedic,False,0,0,0,9,0,0.5802392140139067,0.33,0.4310001841051697,0.4640701537320927
Gudmar,Ayurvedic,False,1,1,0,1,0,0.5950386414635147,0.33,0.725005320086459,0.8135012382474603
Guggul,Ayurvedic,True,0,0,1,5,1,0.7708106950324158,0.33,0.8588473236866947,0.5613591265515641
Arjuna,Ayurvedic,True,0,0,1,7,1,0.7473309969054718,0.33,0.8536875562000805,0.7040338860131948
Licorice,Ayurvedic,False,1,1,0,2,0,0.2225930735169694,0.33,0.5204356286390649,0.7714370236857833
Cardamom,Ayurvedic,False,1,0,1,9,1,0.690157528279963,0.33,0.8126802741367065,0.7826902055843838
Triphala,Ayurvedic,False,1,0,0,9,0,0.2475845704498965,0.33,0.606955937458244,0.6280201028212197
Boswellia,Ayurvedic,False,0,0,1,9,0,0.5784819088230972,0.33,0.5026824214776916,0.4924914247439161
Cumin,Ayurvedic,True,1,1,0,9,1,0.7882241662712821,0.33,0.8661126167992526,0.6823640062362734
Ginger,Ayurvedic,False,0,0,0,9,0,0.596395037773298,0.33,0.7209575632270546,0.7658504720610191
