name,system,effective_for_diabetes,is_hot,reduces_phlegm,active_compounds_count,has_blood_sugar_effect,efficacy_amplitude,system_frequency,phase_alignment,resonance_potential
Myrtle,Unani,True,1,0,4,1,0.7258359892859972,0.5,0.5960970341383337,0.6567648563024189
Cinnamon,Unani,True,1,1,4,1,0.7543093563792285,0.5,0.7013434348464969,0.7258244576773085
Black Seed,Unani,False,0,1,7,1,0.6652573207098118,0.5,0.7777764185152707,0.5230839913583776
Fenugreek,Unani,True,1,0,7,1,0.7411714682926032,0.5,0.7960117492234209,0.5299813430130321
Ginger,Unani,True,1,1,1,1,0.7131524658073964,0.5,0.7907499063935362,0.6548539659261537
Aloe,Unani,False,1,0,2,0,0.6325041397174176,0.5,0.6870002192654296,0.8011825578951192
Cardamom,Unani,False,1,0,4,0,0.353486417639322,0.5,0.5357783521099495,0.4047255551575996
Olive,Unani,False,1,1,5,0,0.5545350202888035,0.5,0.6726457394727282,0.5766648475395668
Garlic,Unani,False,1,0,5,0,0.3351881942552415,0.5,0.478645532342833,0.5206421842985538
Gooseberry,Unani,False,0,1,5,0,0.5729706244093973,0.5,0.6249370114403919,0.5739497076815705
Turmeric,Unani,False,1,0,4,0,0.45943348259175354,0.5,0.591774210271892,0.6947581006657038
Bitter Gourd,Unani,True,1,1,5,1,0.8904511604522596,0.5,0.45328890748329703,0.47736959939464085
Coriander,Unani,False,1,0,7,0,0.3976284770008894,0.5,0.829277767789312,0.839532585859111
Pomegranate,Unani,False,0,0,7,0,0.5940958120671069,0.5,0.46304150631730323,0.5579160644763863
Chicory,Unani,True,1,0,2,1,0.7017810885003997,0.5,0.6435234806555824,0.5501049221193862
Rose,Unani,False,1,0,8,0,0.5915236073202541,0.5,0.6583240449591874,0.7748285338092045
Fennel,Unani,False,0,0,5,1,0.6863401219361713,0.5,0.5800666917713526,0.555027905388365
Barley,Unani,False,0,1,2,1,0.6731200845385523,0.5,0.49504822659777425,0.7173897915788272
Saffron,Unani,False,0,0,2,0,0.5633586076434507,0.5,0.43773609241739625,0.7254414530727963
Honey,Unani,False,0,0,8,0,0.3582776535662141,0.5,0.4440113483951884,0.41507070647966543
